ID,Name,Fat (g),Protein (g),Carbohydrate (g)
788067,Brussels Sprouts Cooked From Frozen Fat Not Added In Cooking,0.39,3.62,8.27
788068,Brussels Sprouts Cooked Ns As To Form Fat Added In Cooking Ns As To Type Of Fat,2.51,3.53,8.04
788069,Brussels Sprouts Cooked From Fresh Fat Added In Cooking Ns As To Type Of Fat,2.6,2.48,6.86
788070,Brussels Sprouts Cooked From Frozen Fat Added In Cooking Ns As To Type Of Fat,2.51,3.53,8.04
788071,Brussels Sprouts Cooked Ns As To Form Made With Oil,3.21,3.51,8.03
788072,Brussels Sprouts Cooked Ns As To Form Made With Butter,2.76,3.54,8.02
788073,Brussels Sprouts Cooked Ns As To Form Made With Margarine,2.15,3.51,8.05
788074,Brussels Sprouts Cooked From Fresh Made With Oil,3.29,2.46,6.86
788075,Brussels Sprouts Cooked From Fresh Made With Butter,2.85,2.48,6.85
788076,Brussels Sprouts Cooked From Fresh Made With Margarine,2.25,2.46,6.87
788077,Brussels Sprouts Cooked From Frozen Made With Oil,3.21,3.51,8.03
788078,Brussels Sprouts Cooked From Frozen Made With Butter,2.76,3.54,8.02
788079,Brussels Sprouts Cooked From Frozen Made With Margarine,2.15,3.51,8.05
788080,Burdock Cooked Ns As To Fat Added In Cooking,3.61,2,20.25
788081,Burdock Cooked Fat Not Added In Cooking,0.14,2.07,20.98
788082,Burdock Cooked Fat Added In Cooking,3.61,2,20.25
788083,Cabbage Chinese Cooked Ns As To Fat Added In Cooking,2.74,1.51,1.72
788084,Cabbage Chinese Cooked Fat Not Added In Cooking,0.16,1.55,1.77
788085,Cabbage Chinese Cooked Fat Added In Cooking Ns As To Type Of Fat,2.74,1.51,1.72
788086,Cabbage Chinese Cooked Made With Oil,2.74,1.51,1.72
788087,Cabbage Chinese Cooked Made With Butter,2.34,1.53,1.72
788088,Cabbage Chinese Cooked Made With Margarine,1.78,1.51,1.74
788089,Cabbage Green Cooked Ns As To Fat Added In Cooking,2.26,1.24,5.32
788090,Cabbage Green Cooked Fat Not Added In Cooking,0.06,1.26,5.47
788091,Cabbage Green Cooked Fat Added In Cooking Ns As To Type Of Fat,2.26,1.24,5.32
788092,Cabbage Green Cooked Made With Oil,2.98,1.23,5.31
788093,Cabbage Green Cooked Made With Butter,2.52,1.25,5.31
788094,Cabbage Green Cooked Made With Margarine,1.89,1.23,5.33
788095,Cabbage Red Cooked Ns As To Fat Added In Cooking,2.29,1.47,6.7
788096,Cabbage Red Cooked Fat Not Added In Cooking,0.09,1.5,6.89
788097,Cabbage Red Cooked Fat Added In Cooking Ns As To Type Of Fat,2.29,1.47,6.7
788098,Cabbage Red Cooked Made With Oil,3.01,1.46,6.69
788099,Cabbage Red Cooked Made With Butter,2.55,1.48,6.69
788100,Cabbage Red Cooked Made With Margarine,1.92,1.46,6.71
788101,Cabbage Savoy Cooked Ns As To Fat Added In Cooking,2.43,2.03,6.13
788102,Cabbage Savoy Cooked Fat Not Added In Cooking,0.1,2.07,6.32
788103,Cabbage Savoy Cooked Fat Added In Cooking Ns As To Type Of Fat,2.43,2.03,6.13
788104,Cabbage Savoy Cooked Made With Oil,3.31,2.01,6.12
788105,Cabbage Savoy Cooked Made With Butter,2.7,2.03,6.12
788106,Cabbage Savoy Cooked Made With Margarine,2.02,2.01,6.15
788107,Cactus Cooked Ns As To Fat Added In Cooking,2.27,1.32,3.17
788108,Cactus Cooked Fat Not Added In Cooking,0.05,1.34,3.26
788109,Cactus Cooked Fat Added In Cooking Ns As To Type Of Fat,2.27,1.32,3.17
788110,Cactus Cooked Made With Oil,2.99,1.3,3.16
788111,Cactus Cooked Made With Butter,2.53,1.33,3.16
788112,Cactus Cooked Made With Margarine,1.89,1.3,3.18
788113,Cauliflower Cooked Ns As To Form Ns As To Fat Added In Cooking,2.06,1.58,3.64
788114,Cauliflower Cooked From Fresh Ns As To Fat Added In Cooking,3.08,1.78,3.94
788115,Cauliflower Cooked From Frozen Ns As To Fat Added In Cooking,2.06,1.58,3.64
788116,Cauliflower Cooked From Canned Ns As To Fat Added In Cooking,2.06,1.58,3.64
788117,Cauliflower Cooked Ns As To Form Fat Not Added In Cooking,0.22,1.6,3.73
788118,Cauliflower Cooked From Fresh Fat Not Added In Cooking,0.45,1.82,4.08
788119,Cauliflower Cooked From Frozen Fat Not Added In Cooking,0.22,1.6,3.73
788120,Cauliflower Cooked From Canned Fat Not Added In Cooking,0.22,1.6,3.73
788121,Cauliflower Cooked Ns As To Form Fat Added In Cooking Ns As To Type Of Fat,2.06,1.58,3.64
788122,Cauliflower Cooked From Fresh Fat Added In Cooking Ns As To Type Of Fat,3.08,1.78,3.94
788123,Cauliflower Cooked From Frozen Fat Added In Cooking Ns As To Type Of Fat,2.06,1.58,3.64
788124,Cauliflower Cooked From Canned Fat Added In Cooking Ns As To Type Of Fat,3.08,1.78,3.94
788125,Cauliflower Cooked Ns As To Form Made With Oil,2.66,1.56,3.64
788126,Cauliflower Cooked Ns As To Form Made With Butter,2.28,1.58,3.64
788127,Cauliflower Cooked Ns As To Form Made With Margarine,1.75,1.56,3.66
788128,Cauliflower Cooked From Fresh Made With Oil,3.94,1.76,3.93
788129,Cauliflower Cooked From Fresh Made With Butter,3.39,1.79,3.93
788130,Cauliflower Cooked From Fresh Made With Margarine,2.63,1.76,3.96
788131,Cauliflower Cooked From Frozen Made With Oil,2.66,1.56,3.64
788132,Cauliflower Cooked From Frozen Made With Butter,2.28,1.58,3.64
788133,Cauliflower Cooked From Frozen Made With Margarine,1.75,1.56,3.66
788134,Cauliflower Cooked From Canned Made With Oil,2.66,1.56,3.64
788135,Cauliflower Cooked From Canned Made With Butter,2.28,1.58,3.64
788136,Cauliflower Cooked From Canned Made With Margarine,1.75,1.56,3.66
788137,Celery Cooked Ns As To Fat Added In Cooking,2.36,0.82,3.86
788138,Celery Cooked Fat Not Added In Cooking,0.16,0.82,3.97
788139,Celery Cooked Fat Added In Cooking Ns As To Type Of Fat,2.36,0.82,3.86
788140,Celery Cooked Made With Oil,3.07,0.8,3.86
788141,Celery Cooked Made With Butter,2.62,0.82,3.86
788142,Celery Cooked Made With Margarine,1.99,0.8,3.88
788143,Fennel Bulb Cooked Ns As To Fat Added In Cooking,3.86,1.92,11.18
788144,Fennel Bulb Cooked Fat Not Added In Cooking,0.32,1.96,11.52
788145,Fennel Bulb Cooked Fat Added In Cooking Ns As To Type Of Fat,3.86,1.92,11.18
788146,Fennel Bulb Cooked Made With Oil,5.2,1.9,11.16
788147,Fennel Bulb Cooked Made With Butter,4.28,1.94,11.17
788148,Fennel Bulb Cooked Made With Margarine,3.23,1.9,11.2
788149,Christophine Cooked Ns As To Fat Added In Cooking,2.54,0.62,4.92
788150,Christophine Cooked Fat Not Added In Cooking,0.48,0.62,5.06
788151,Christophine Cooked Fat Added In Cooking,2.54,0.62,4.92
788152,Corn Cooked Ns As To Form Ns As To Color Ns As To Fat Added In Cooking,2.67,2.48,18.66
788154,Corn Cooked From Frozen Ns As To Color Ns As To Fat Added In Cooking,2.67,2.48,18.66
788155,Corn Cooked From Canned Ns As To Color Ns As To Fat Added In Cooking,3.21,2.24,13.92
788159,Corn Cooked From Canned Ns As To Color Fat Not Added In Cooking,1.22,2.28,14.3
788160,Corn Cooked Ns As To Form Ns As To Color Fat Added In Cooking Ns As To Type Of Fat,2.67,2.48,18.66
788162,Corn Cooked From Frozen Ns As To Color Fat Added In Cooking Ns As To Type Of Fat,2.67,2.48,18.66
788163,Corn Cooked From Canned Ns As To Color Fat Added In Cooking Ns As To Type Of Fat,3.21,2.24,13.92
788164,Corn Cooked Ns As To Form Ns As To Color Made With Oil,3.33,2.47,18.67
788165,Corn Cooked Ns As To Form Ns As To Color Made With Butter,2.91,2.49,18.65
788166,Corn Cooked Ns As To Form Ns As To Color Made With Margarine,2.33,2.47,18.67
788167,Corn Cooked From Fresh Ns As To Color Made With Oil,4.13,3.3,20.29
788170,Corn Cooked From Frozen Ns As To Color Made With Oil,3.33,2.47,18.67
788171,Corn Cooked From Frozen Ns As To Color Made With Butter,2.91,2.49,18.65
788172,Corn Cooked From Frozen Ns As To Color Made With Margarine,2.33,2.47,18.67
788173,Corn Cooked From Canned Ns As To Color Made With Oil,3.87,2.22,13.92
788174,Corn Cooked From Canned Ns As To Color Made With Butter,3.45,2.24,13.91
788175,Corn Cooked From Canned Ns As To Color Made With Margarine,2.87,2.22,13.93
788176,Corn Ns As To Form Ns As To Color Cream Style,0.42,1.73,18.06
788177,Corn From Canned Ns As To Color Cream Style,0.42,1.74,18.1
788178,Corn Dried Cooked,5.46,2.14,15.32
788179,Corn Yellow Cooked Ns As To Form Ns As To Fat Added In Cooking,2.67,2.48,18.66
788181,Corn Yellow Cooked From Frozen Ns As To Fat Added In Cooking,2.67,2.48,18.66
788182,Corn Yellow Cooked From Canned Ns As To Fat Added In Cooking,3.21,2.24,13.92
788186,Corn Yellow Cooked From Canned Fat Not Added In Cooking,1.22,2.28,14.3
788187,Corn Yellow Cooked Ns As To Form Fat Added In Cooking Ns As To Type Of Fat,2.67,2.48,18.66
788189,Corn Yellow Cooked From Frozen Fat Added In Cooking Ns As To Type Of Fat,2.67,2.48,18.66
788190,Corn Yellow Cooked From Canned Fat Added In Cooking Ns As To Type Of Fat,3.21,2.24,13.92
788191,Corn Yellow Cooked Ns As To Form Made With Oil,3.33,2.47,18.67
788192,Corn Yellow Cooked Ns As To Form Made With Butter,2.91,2.49,18.65
788193,Corn Yellow Cooked Ns As To Form Made With Margarine,2.33,2.47,18.67
788194,Corn Yellow Cooked From Fresh Made With Oil,4.13,3.3,20.29
788197,Corn Yellow Cooked From Frozen Made With Oil,3.33,2.47,18.67
788198,Corn Yellow Cooked From Frozen Made With Butter,2.91,2.49,18.65
788199,Corn Yellow Cooked From Frozen Made With Margarine,2.33,2.47,18.67
788200,Corn Yellow Cooked From Canned Made With Oil,3.87,2.22,13.92
788201,Corn Yellow Cooked From Canned Made With Butter,3.45,2.24,13.91
788202,Corn Yellow Cooked From Canned Made With Margarine,2.87,2.22,13.93
788203,Corn Yellow Ns As To Form Cream Style,0.42,1.73,18.06
788204,Corn Yellow From Canned Cream Style,0.42,1.74,18.1
788205,Corn Yellow And White Cooked Ns As To Form Ns As To Fat Added In Cooking,2.55,2.58,18.78
788207,Corn Yellow And White Cooked From Frozen Ns As To Fat Added In Cooking,2.55,2.58,18.78
788208,Corn Yellow And White Cooked From Canned Ns As To Fat Added In Cooking,3.28,2.25,14.26
788212,Corn Yellow And White Cooked From Canned Fat Not Added In Cooking,1.29,2.3,14.66
788213,Corn Yellow And White Cooked Ns As To Form Made With Oil,3.33,2.47,18.67
788214,Corn Yellow And White Cooked Ns As To Form Made With Butter,2.91,2.49,18.65
788215,Corn Yellow And White Cooked Ns As To Form Made With Margarine,2.21,2.56,18.79
788219,Corn Yellow And White Cooked Ns As To Form Fat Added In Cooking Ns As To Type Of Fat,2.55,2.58,18.78
788221,Corn Yellow And White Cooked From Frozen Fat Added In Cooking Ns As To Type Of Fat,2.55,2.58,18.78
788222,Corn Yellow And White Cooked From Canned Fat Added In Cooking Ns As To Type Of Fat,3.28,2.25,14.26
788223,Corn Yellow And White Cooked From Frozen Made With Oil,3.21,2.56,18.8
788224,Corn Yellow And White Cooked From Frozen Made With Butter,2.79,2.58,18.78
788225,Corn Yellow And White Cooked From Frozen Made With Margarine,2.21,2.56,18.79
788226,Corn Yellow And White Cooked From Canned Made With Oil,3.95,2.24,14.27
788227,Corn Yellow And White Cooked From Canned Made With Butter,3.52,2.26,14.26
788228,Corn Yellow And White Cooked From Canned Made With Margarine,2.94,2.24,14.28
788229,Corn Yellow Ns As To Form Cream Style Fat Added In Cooking,1.72,1.71,17.74
788230,Corn Yellow From Canned Cream Style Fat Added In Cooking,1.73,1.72,17.78
788234,Corn White Cooked From Canned Ns As To Fat Added In Cooking,3.36,2.27,14.61
788238,Corn White Cooked From Canned Fat Not Added In Cooking,1.37,2.31,15.02
788242,Corn White Cooked From Canned Fat Added In Cooking Ns As To Type Of Fat,3.36,2.27,14.61
788243,Corn White Cooked Ns As To Form Made With Oil,3.1,2.66,18.92
788244,Corn White Cooked Ns As To Form Made With Butter,2.68,2.68,18.9
788249,Corn White Cooked From Frozen Made With Oil,3.1,2.66,18.92
788250,Corn White Cooked From Frozen Made With Butter,2.68,2.68,18.9
788252,Corn White Cooked From Canned Made With Oil,4.02,2.25,14.62
788253,Corn White Cooked From Canned Made With Butter,3.6,2.27,14.6
788254,Corn White Cooked From Canned Made With Margarine,3.02,2.25,14.62
788255,Corn White Ns As To Form Cream Style,0.42,1.73,18.55
788256,Corn White From Canned Cream Style,0.42,1.74,18.59
788257,Corn Yellow Canned Low Sodium Ns As To Fat Added In Cooking,4.01,2.81,19.84
788259,Corn Yellow Canned Low Sodium Fat Added In Cooking Ns As To Type Of Fat,4.01,2.81,19.84
788260,Corn Yellow Canned Low Sodium Made With Oil,4.95,2.79,19.85
788261,Corn Yellow Canned Low Sodium Made With Butter,4.35,2.82,19.83
788262,Corn Yellow Canned Low Sodium Made With Margarine,3.52,2.8,19.86
788263,Cucumber Cooked Ns As To Fat Added In Cooking,2.89,0.8,4.33
788264,Cucumber Cooked Fat Not Added In Cooking,0.14,0.8,4.46
788265,Cucumber Cooked Fat Added In Cooking Ns As To Type Of Fat,2.89,0.8,4.33
788266,Cucumber Cooked Made With Oil,3.94,0.77,4.32
788267,Cucumber Cooked Made With Butter,3.22,0.8,4.32
788268,Cucumber Cooked Made With Margarine,2.41,0.78,4.35
788269,Eggplant Cooked Ns As To Fat Added In Cooking,3.59,0.81,8.26
788270,Eggplant Cooked Fat Not Added In Cooking,0.23,0.82,8.64
788271,Eggplant Cooked Fat Added In Cooking Ns As To Type Of Fat,3.59,0.81,8.26
788272,Eggplant Cooked Made With Oil,4.69,0.78,8.25
788273,Eggplant Cooked Made With Butter,3.99,0.82,8.24
788274,Eggplant Cooked Made With Margarine,3.02,0.79,8.28
788275,Flowers Or Blossoms Of Sesbania Squash Or Lily Ns As To Fat Added In Cooking,2.53,1.06,3.18
788276,Flowers Or Blossoms Of Sesbania Squash Or Lily Fat Not Added In Cooking,0.08,1.08,3.28
788277,Flowers Or Blossoms Of Sesbania Squash Or Lily Fat Added In Cooking,2.53,1.06,3.18
788278,Garlic Cooked,0.5,6.32,32.86
788279,Hominy Cooked Ns As To Fat Added In Cooking,2.86,1.45,13.79
788280,Hominy Cooked Fat Not Added In Cooking,0.88,1.47,14.17
788281,Hominy Cooked Fat Added In Cooking,2.86,1.45,13.79
788282,Kohlrabi Cooked Ns As To Fat Added In Cooking,2.12,1.76,6.48
788283,Kohlrabi Cooked Fat Not Added In Cooking,0.11,1.79,6.65
788284,Kohlrabi Cooked Fat Added In Cooking,2.12,1.76,6.48
788285,Leek Cooked Ns As To Fat Added In Cooking,2.66,1.54,14.36
788286,Lotus Root Cooked Ns As To Fat Added In Cooking,3.68,1.51,15.31
788287,Lotus Root Cooked Fat Not Added In Cooking,0.07,1.57,15.89
788288,Lotus Root Cooked Fat Added In Cooking,6.99,1.45,14.66
788289,Mushrooms Cooked Ns As To Form Ns As To Fat Added In Cooking,2.58,2.11,5.11
788290,Mushrooms Cooked From Fresh Ns As To Fat Added In Cooking,2.58,2.11,5.11
788291,Mushrooms Cooked From Frozen Ns As To Fat Added In Cooking,2.58,2.11,5.11
788292,Mushrooms Cooked From Canned Ns As To Fat Added In Cooking,3.09,1.81,4.92
788293,Mushrooms Cooked Ns As To Form Fat Not Added In Cooking,0.47,2.16,5.26
788294,Mushrooms Cooked From Fresh Fat Not Added In Cooking,0.47,2.16,5.26
788295,Mushrooms Cooked From Frozen Fat Not Added In Cooking,0.47,2.16,5.26
788296,Mushrooms Cooked From Canned Fat Not Added In Cooking,0.29,1.86,5.06
788297,Mushrooms Cooked Ns As To Form Fat Added In Cooking Ns Asa To Type Of Fat,2.58,2.11,5.11
788298,Mushrooms Cooked From Fresh Fat Added In Cooking Ns As To Type Of Fat,2.58,2.11,5.11
788299,Mushrooms Cooked From Frozen Fat Added In Cooking Ns As To Type Of Fat,2.58,2.11,5.11
788300,Mushrooms Cooked From Canned Fat Added In Cooking Ns As To Type Of Fat,3.09,1.81,4.92
788301,Mushrooms Cooked Ns As To Form Made With Oil,3.27,2.1,5.11
788302,Mushrooms Cooked Ns As To Form Made With Butter,2.82,2.12,5.1
788303,Mushrooms Cooked Ns As To Form Made With Margarine,2.22,2.1,5.13
788304,Mushrooms Cooked From Fresh Made With Oil,3.27,2.1,5.11
788305,Mushrooms Cooked From Fresh Made With Butter,2.82,2.12,5.1
788306,Mushrooms Cooked From Fresh Made With Margarine,2.22,2.1,5.13
788307,Mushrooms Cooked From Frozen Made With Oil,3.27,2.1,5.11
788308,Mushrooms Cooked From Frozen Made With Butter,2.82,2.12,5.1
788309,Mushrooms Cooked From Frozen Made With Margarine,2.22,2.1,5.13
788310,Mushrooms Cooked From Canned Made With Oil,3.09,1.81,4.92
788311,Mushrooms Cooked From Canned Made With Butter,2.65,1.83,4.91
788312,Mushrooms Cooked From Canned Made With Margarine,2.04,1.81,4.93
788313,Mushroom Asian Cooked From Dried,0.22,1.55,14.29
788314,Okra Cooked Ns As To Form Ns As To Fat Added In Cooking,2.04,1.6,6.23
788315,Okra Cooked From Fresh Ns As To Fat Added In Cooking,2.27,1.82,4.36
788316,Okra Cooked From Frozen Ns As To Fat Added In Cooking,2.04,1.6,6.23
788317,Okra Cooked From Canned Ns As To Fat Added In Cooking,2.27,1.82,4.36
788318,Okra Cooked Ns As To Form Fat Not Added In Cooking,0.24,1.62,6.38
788319,Okra Cooked From Fresh Fat Not Added In Cooking,0.21,1.86,4.48
788320,Okra Cooked From Frozen Fat Not Added In Cooking,0.24,1.62,6.38
788321,Okra Cooked From Canned Fat Not Added In Cooking,0.21,1.86,4.48
788322,Okra Cooked Ns As To Form Fat Added In Cooking Ns As To Type Of Fat,2.04,1.6,6.23
788323,Okra Cooked From Fresh Fat Added In Cooking Ns As To Type Of Fat,2.27,1.82,4.36
788324,Okra Cooked From Frozen Fat Added In Cooking Ns As To Type Of Fat,2.04,1.6,6.23
788325,Okra Cooked From Canned Fat Added In Cooking Ns As To Type Of Fat,2.27,1.82,4.36
788326,Okra Cooked Ns As To Form Made With Oil,2.63,1.58,6.22
788327,Okra Cooked Ns As To Form Made With Butter,2.25,1.6,6.22
788328,Okra Cooked Ns As To Form Made With Margarine,1.74,1.58,6.24
788329,Okra Cooked From Fresh Made With Oil,2.95,1.81,4.36
788330,Okra Cooked From Fresh Made With Butter,2.52,1.83,4.36
788331,Okra Cooked From Fresh Made With Margarine,1.92,1.81,4.38
788332,Okra Cooked From Frozen Made With Oil,2.63,1.58,6.22
788333,Okra Cooked From Frozen Made With Butter,2.25,1.6,6.22
788334,Okra Cooked From Frozen Made With Margarine,1.74,1.58,6.24
788335,Okra Cooked From Canned Made With Oil,2.95,1.81,4.36
788336,Okra Cooked From Canned Made With Butter,2.52,1.83,4.36
788337,Okra Cooked From Canned Made With Margarine,1.92,1.81,4.38
788338,Lettuce Cooked Ns As To Fat Added In Cooking,3.54,1.32,4.29
788339,Lettuce Cooked Fat Not Added In Cooking,0.14,0.9,2.95
788340,Lettuce Cooked Fat Added In Cooking,3.54,1.32,4.29
788341,Luffa Cooked Ns As To Fat Added In Cooking,2.95,1.81,4.36
788342,Luffa Cooked Fat Not Added In Cooking,0.21,1.86,4.48
788343,Luffa Cooked Fat Added In Cooking,2.95,1.81,4.36
788344,Onions Cooked Ns As To Form Ns As To Fat Added In Cooking,1.5,0.76,6.44
788345,Onions Cooked From Fresh Ns As To Fat Added In Cooking,1.78,1.34,9.89
788346,Onions Cooked From Frozen Ns As To Fat Added In Cooking,1.5,0.76,6.44
788347,Onions Cooked Ns As To Form Fat Not Added In Cooking,0.1,0.77,6.56
788348,Onions Cooked From Fresh Fat Not Added In Cooking,0.19,1.35,10.1
788349,Onions Cooked From Frozen Fat Not Added In Cooking,0.1,0.77,6.58
788350,Onions Cooked Ns As To Form Made With Oil,1.95,0.75,6.44
788351,Onions Cooked Ns As To Form Made With Butter,1.66,0.77,6.44
788352,Onions Cooked Ns As To Form Made With Margarine,1.26,0.76,6.45
788353,Onions Cooked From Fresh Made With Oil,2.29,1.32,9.89
788354,Onions Cooked From Fresh Made With Butter,1.96,1.34,9.88
788355,Onions Cooked From Fresh Made With Margarine,1.51,1.33,9.9
788356,Onions Cooked Ns As To Form Fat Added In Cooking Ns As To Type Of Fat,1.5,0.76,6.44
788357,Onions Cooked From Fresh Fat Added In Cooking Ns As To Type Of Fat,1.78,1.34,9.89
788358,Onions Cooked From Frozen Fat Added In Cooking Ns As To Type Of Fat,1.5,0.76,6.44
788359,Onions Cooked From Frozen Made With Oil,2.2,0.75,6.42
788360,Onions Cooked From Frozen Made With Butter,1.88,0.77,6.42
788361,Onions Cooked From Frozen Made With Margarine,1.42,0.75,6.43
788362,Onions Pearl Cooked Ns As To Form,0.05,0.71,6.67
788363,Onions Pearl Cooked From Fresh,0.19,1.35,10.1
788364,Onions Pearl Cooked From Frozen,0.05,0.71,6.67
788365,Onions Pearl Cooked From Canned,0.19,1.35,10.1
788366,Onions Green Cooked Ns As To Form Ns As To Fat Added In Cooking,2.55,1.88,7.46
788367,Onions Green Cooked From Fresh Ns As To Fat Added In Cooking,2.55,1.88,7.46
788368,Onions Green Cooked Ns As To Form Fat Not Added In Cooking,0.2,1.92,7.68
788369,Onions Green Cooked From Fresh Fat Not Added In Cooking,0.2,1.91,7.65
788370,Onions Green Cooked Ns As To Form Fat Added In Cooking,2.55,1.88,7.46
788371,Onions Green Cooked From Fresh Fat Added In Cooking,2.13,1.86,7.47
788372,Palm Hearts Cooked Assume Fat Not Added In Cooking,0.2,2.68,25.46
788373,Parsnips Cooked Ns As To Fat Added In Cooking,2.41,1.29,16.42
788374,Parsnips Cooked Fat Not Added In Cooking,0.3,1.31,16.9
788375,Parsnips Cooked Fat Added In Cooking Ns As To Type Of Fat,2.41,1.29,16.42
788376,Parsnips Cooked Made With Oil,3.1,1.27,16.43
788377,Parsnips Cooked Made With Butter,2.66,1.3,16.41
788378,Parsnips Cooked Made With Margarine,2.05,1.28,16.43
788379,Peas Cowpeas Field Peas Or Blackeye Peas Not Dried Cooked Ns As To Form Ns As To Fat Added In Cooking,2.59,8.23,23
788380,Peas Cowpeas Field Peas Or Blackeye Peas Not Dried Cooked From Fresh Ns As To Fat Added In Cooking,2.59,8.23,23
788381,Peas Cowpeas Field Peas Or Blackeye Peas Not Dried Cooked From Frozen Ns As To Fat Added In Cooking,2.59,8.23,23
788382,Peas Cowpeas Field Peas Or Blackeye Peas Not Dried Cooked From Canned Ns As To Fat Added In Cooking,2.58,8.2,22.91
788383,Peas Cowpeas Field Peas Or Blackeye Peas Not Dried Cooked Ns As To Form Fat Not Added In Cooking,0.66,8.44,23.62
788384,Peas Cowpeas Field Peas Or Blackeye Peas Not Dried Cooked From Fresh Fat Not Added In Cooking,0.38,3.15,20.2
788385,Peas Cowpeas Field Peas Or Blackeye Peas Not Dried Cooked From Frozen Fat Not Added In Cooking,0.66,8.44,23.62
788386,Peas Cowpeas Field Peas Or Blackeye Peas Not Dried Cooked From Canned Fat Not Added In Cooking,0.65,8.41,23.53
788387,Peas Cowpeas Field Peas Or Blackeye Peas Not Dried Cooked Ns As To Form Fat Added In Cooking Ns As To Type Of Fat,2.59,8.23,23
788388,Peas Cowpeas Field Peas Or Blackeye Peas Not Dried Cooked From Fresh Fat Added In Cooking Ns As To Type Of Fat,2.38,3.08,19.65
788389,Peas Cowpeas Field Peas Or Blackeye Peas Not Dried Cooked From Frozen Fat Added In Cooking Ns As To Type Of Fat,2.59,8.23,23
788390,Peas Cowpeas Field Peas Or Blackeye Peas Not Dried Cooked From Canned Fat Added In Cooking Ns As To Type Of Fat,2.58,8.2,22.91
788391,Peas Cowpeas Field Peas Or Blackeye Peas Not Dried Cooked Ns As To Form Made With Oil,3.23,8.22,23.01
788392,Peas Cowpeas Field Peas Or Blackeye Peas Not Dried Cooked Ns As To Form Made With Butter,2.82,8.24,22.99
788393,Peas Cowpeas Field Peas Or Blackeye Peas Not Dried Cooked Ns As To Form Made With Margarine,2.26,8.22,23
788394,Peas Cowpeas Field Peas Or Blackeye Peas Not Dried Cooked From Fresh Made With Oil,3.03,3.07,19.66
788395,Peas Cowpeas Field Peas Or Blackeye Peas Not Dried Cooked From Fresh Made With Butter,2.61,3.09,19.64
788396,Peas Cowpeas Field Peas Or Blackeye Peas Not Dried Cooked From Fresh Made With Margarine,2.04,3.07,19.66
788397,Peas Cowpeas Field Peas Or Blackeye Peas Not Dried Cooked From Frozen Made With Oil,3.23,8.22,23.01
788398,Peas Cowpeas Field Peas Or Blackeye Peas Not Dried Cooked From Frozen Made With Butter,2.82,8.24,22.99
788399,Peas Cowpeas Field Peas Or Blackeye Peas Not Dried Cooked From Frozen Made With Margarine,0.93,8.4,23.52
788400,Peas Cowpeas Field Peas Or Blackeye Peas Not Dried Cooked From Canned Made With Oil,3.22,8.19,22.92
788401,Peas Cowpeas Field Peas Or Blackeye Peas Not Dried Cooked From Canned Made With Butter,2.81,8.21,22.9
788402,Peas Cowpeas Field Peas Or Blackeye Peas Not Dried Cooked From Canned Made With Margarine,2.25,8.19,22.92
788403,Peas Green Cooked Ns As To Form Ns As To Fat Added In Cooking,2.33,4.99,13.78
788404,Peas Green Cooked From Fresh Ns As To Fat Added In Cooking,2.28,5.19,15.1
788405,Peas Green Cooked From Frozen Ns As To Fat Added In Cooking,2.33,4.99,13.78
788406,Peas Green Cooked From Canned Ns As To Fat Added In Cooking,2.74,4.36,11.04
788407,Peas Green Cooked Ns As To Form Fat Not Added In Cooking,0.27,5.12,14.17
788408,Peas Green Cooked From Fresh Fat Not Added In Cooking,0.22,5.33,15.53
788409,Peas Green Cooked From Frozen Fat Not Added In Cooking,0.27,5.12,14.17
788410,Peas Green Cooked From Canned Fat Not Added In Cooking,0.8,4.46,11.33
788411,Peas Green Cooked Ns As To Form Fat Added In Cooking Ns As To Type Of Fat,2.33,4.99,13.78
788412,Peas Green Cooked From Fresh Fat Added In Cooking Ns As To Type Of Fat,2.28,5.19,15.1
788413,Peas Green Cooked From Frozen Fat Added In Cooking Ns As To Type Of Fat,2.33,4.99,13.78
788414,Peas Green Cooked From Canned Fat Added In Cooking Ns As To Type Of Fat,2.74,4.36,11.04
788415,Peas Green Cooked Ns As To Form Made With Oil,3,4.98,13.78
788416,Peas Green Cooked Ns As To Form Made With Butter,2.58,5,13.77
788417,Peas Green Cooked Ns As To Form Made With Margarine,1.98,4.98,13.79
788418,Peas Green Cooked From Fresh Made With Oil,2.96,5.18,15.11
788419,Peas Green Cooked From Fresh Made With Butter,2.53,5.2,15.09
788420,Peas Green Cooked From Fresh Made With Margarine,1.93,5.18,15.11
788421,Peas Green Cooked From Frozen Made With Oil,3,4.98,13.78
788422,Peas Green Cooked From Frozen Made With Butter,2.58,5,13.77
788423,Peas Green Cooked From Frozen Made With Margarine,1.98,4.98,13.79
788424,Peas Green Cooked From Canned Made With Oil,3.37,4.34,11.04
788425,Peas Green Cooked From Canned Made With Butter,2.97,4.36,11.03
788426,Peas Green Cooked From Canned Made With Margarine,2.4,4.34,11.05
788427,Peas Green Canned Low Sodium Ns As To Fat Added In Cooking,2.58,4.91,14.96
788428,Peas Green Canned Low Sodium Fat Not Added In Cooking,0.47,4.98,15.23
788429,Peas Green Canned Low Sodium Fat Added In Cooking Ns As To Type Of Fat,2.58,4.91,14.96
788430,Peas Green Canned Low Sodium Made With Oil,3.27,4.89,14.96
788431,Peas Green Canned Low Sodium Made With Butter,2.83,4.92,14.95
